stratum,lineage,head,seed,K,forget_id,update_mode,dose,protocol,epochs_recorded,first_zero_epoch,centred_reversal_ep1,centred_reversal_any_epoch,centred_reversal_epochs,uncentred_reversal_any,nc3_centred_ep0,source_artifact,reused_elsewhere
C historical faces-1000,faces-1000 (same source dir; different forget ids),arcface,0,1000,0,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.8875037294191552,logs/faces_arcface_seed0_random_label_clfonly_fc0,
C historical faces-1000,faces-1000 (same source dir; different forget ids),arcface,0,1000,122,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.9501892962922934,logs/faces_arcface_seed0_random_label_clfonly_fc122,
C historical faces-1000,faces-1000 (same source dir; different forget ids),arcface,0,1000,389,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.8539138219574609,logs/faces_arcface_seed0_random_label_clfonly_fc389,
C historical faces-1000,faces-1000 (same source dir; different forget ids),arcface,0,1000,794,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.9402727182585625,logs/faces_arcface_seed0_random_label_clfonly_fc794,
D historical faces-100,faces-100 SEPARATE lineage (casia-webface-folders-100id; min100; extraction seed UNRECORDED),ce,0,100,0,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.9008863072218822,logs100/faces_ce_seed0_random_label_clfonly_fc0,
D historical faces-100,faces-100 SEPARATE lineage (casia-webface-folders-100id; min100; extraction seed UNRECORDED),ce,0,100,29,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.9092399259112856,logs100/faces_ce_seed0_random_label_clfonly_fc29,
D historical faces-100,faces-100 SEPARATE lineage (casia-webface-folders-100id; min100; extraction seed UNRECORDED),ce,0,100,60,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.8603456915548893,logs100/faces_ce_seed0_random_label_clfonly_fc60,
D historical faces-100,faces-100 SEPARATE lineage (casia-webface-folders-100id; min100; extraction seed UNRECORDED),ce,0,100,95,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.9207086691055713,logs100/faces_ce_seed0_random_label_clfonly_fc95,
D historical faces-100,faces-100 SEPARATE lineage (casia-webface-folders-100id; min100; extraction seed UNRECORDED),arcface,0,100,0,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.9615161647687248,logs100/faces_arcface_seed0_random_label_clfonly_fc0,
D historical faces-100,faces-100 SEPARATE lineage (casia-webface-folders-100id; min100; extraction seed UNRECORDED),arcface,0,100,29,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,True,True,1;2;3,False,0.6855249751520363,logs100/faces_arcface_seed0_random_label_clfonly_fc29,
D historical faces-100,faces-100 SEPARATE lineage (casia-webface-folders-100id; min100; extraction seed UNRECORDED),arcface,0,100,60,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,False,-,False,0.9970461115096244,logs100/faces_arcface_seed0_random_label_clfonly_fc60,
D historical faces-100,faces-100 SEPARATE lineage (casia-webface-folders-100id; min100; extraction seed UNRECORDED),arcface,0,100,95,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,False,True,3,False,0.998138590519368,logs100/faces_arcface_seed0_random_label_clfonly_fc95,
E CIFAR-10 context,CIFAR-10 32x32,arcface,0,10,0,classifier_only,UNCONTROLLED (forget term on every retain step); lambda=1,random_label_clfonly; 3 epochs,0;1;2;3,1,True,True,1;2;3,False,0.9692081424938814,logs/postfix_seed0_clean/cifar10_arcface_seed0_random_label_clfonly_fc0,supersedes pre-LR-fix logs/cifar10_arcface_seed0_*
