seed,head,forget_class,identity,epoch,forget_correct,forget_total,retain_correct,retain_total,output_forget,output_retain,nc3_centred,d_nc3_centred,nc3_uncentred,d_nc3_uncentred,probe_forget,nc1_angular
1,ce,0,00001,3,0,10,544,970,0.0,0.5608247422680412,0.7213286335718764,-0.12305800251217225,0.16205130914667126,-0.3639322150198994,0.5,0.9740622302714209
1,ce,29,00142,0,9,10,539,970,0.9,0.5556701030927835,0.8301482778927578,0.0,0.5409147566531531,0.0,0.9,0.9740622302714209
1,ce,29,00142,1,0,10,539,970,0.0,0.5556701030927835,0.7297969598530112,-0.10035131803974662,0.25620974084250475,-0.2847050158106484,0.9,0.9740622302714209
1,ce,29,00142,2,0,10,534,970,0.0,0.5505154639175258,0.6979248593623006,-0.13222341853045716,0.19120926051632992,-0.3497054961368232,0.9,0.9740622302714209
1,ce,29,00142,3,0,10,531,970,0.0,0.5474226804123712,0.6902312302643262,-0.1399170476284316,0.1768474408385067,-0.36406731581464646,0.9,0.9740622302714209
1,ce,60,00284,0,6,10,542,970,0.6,0.5587628865979382,0.8222519133001325,0.0,0.5137675457541272,0.0,0.6,0.9740622302714209
1,ce,60,00284,1,0,10,546,970,0.0,0.5628865979381443,0.7372321175549175,-0.08501979574521501,0.24311545649469057,-0.2706520892594366,0.6,0.9740622302714209
1,ce,60,00284,2,0,10,544,970,0.0,0.5608247422680412,0.7094517142233066,-0.11280019907682592,0.180307273932427,-0.33346027182170024,0.6,0.9740622302714209
1,ce,60,00284,3,0,10,541,970,0.0,0.5577319587628866,0.7030698828172293,-0.11918203048290321,0.1670544400391842,-0.34671310571494296,0.6,0.9740622302714209
1,ce,95,00524,0,10,10,538,970,1.0,0.554639175257732,0.8405530375198977,0.0,0.4963406804091538,0.0,0.9,0.9740622302714209
1,ce,95,00524,1,0,10,542,970,0.0,0.5587628865979382,0.741846443689947,-0.09870659382995073,0.20988052513073918,-0.2864601552784146,0.9,0.9740622302714209
